area,time,流计算,移动互联,第三方支付,在线支付,移动支付
山东,2011-01-01,0,0,63,57,57
山东,2011-01-02,0,0,72,57,59
山东,2011-01-03,0,0,57,57,57
山东,2011-01-04,0,0,68,0,68
山东,2011-01-05,0,0,63,57,63
山东,2011-01-06,0,0,74,59,59
山东,2011-01-07,0,0,64,64,72
山东,2011-01-08,0,0,64,59,57
山东,2011-01-09,0,0,72,57,59
山东,2011-01-10,0,57,76,59,59
山东,2011-01-11,0,57,80,61,57
山东,2011-01-12,0,0,74,57,57
山东,2011-01-13,0,59,76,59,59
山东,2011-01-14,0,0,68,59,63
山东,2011-01-15,0,57,70,57,0
山东,2011-01-16,0,0,61,57,64
山东,2011-01-17,0,0,70,57,59
山东,2011-01-18,0,0,66,57,61
山东,2011-01-19,0,0,64,57,0
山东,2011-01-20,0,0,61,61,61
山东,2011-01-21,0,57,68,59,0
山东,2011-01-22,0,57,61,0,61
山东,2011-01-23,0,0,63,59,64
山东,2011-01-24,0,59,74,59,57
山东,2011-01-25,0,57,68,57,0
山东,2011-01-26,0,57,70,59,64
山东,2011-01-27,0,0,64,57,57
山东,2011-01-28,0,0,63,59,61
山东,2011-01-29,0,59,59,0,57
山东,2011-01-30,0,0,76,61,57
山东,2011-01-31,0,0,59,57,63
山东,2011-02-01,0,0,0,0,63
山东,2011-02-02,0,0,59,57,59
山东,2011-02-03,0,57,59,57,68
山东,2011-02-04,0,0,57,57,59
山东,2011-02-05,0,0,59,0,61
山东,2011-02-06,0,0,63,0,59
山东,2011-02-07,0,0,63,0,59
山东,2011-02-08,0,0,61,0,64
山东,2011-02-09,0,59,64,57,59
山东,2011-02-10,0,57,59,61,59
山东,2011-02-11,0,57,63,0,59
山东,2011-02-12,0,57,64,57,63
山东,2011-02-13,0,0,70,57,64
山东,2011-02-14,0,59,70,0,61
山东,2011-02-15,0,59,68,57,70
山东,2011-02-16,0,57,66,57,64
山东,2011-02-17,0,0,78,61,68
山东,2011-02-18,0,0,78,59,70
山东,2011-02-19,0,0,70,0,63
山东,2011-02-20,0,64,70,61,63
山东,2011-02-21,0,57,68,57,61
山东,2011-02-22,0,0,70,57,63
山东,2011-02-23,0,57,76,59,61
山东,2011-02-24,0,57,70,61,68
山东,2011-02-25,0,63,66,59,59
山东,2011-02-26,0,0,64,0,57
山东,2011-02-27,0,61,72,0,59
山东,2011-02-28,0,57,76,61,59
山东,2011-03-01,0,59,74,61,70
山东,2011-03-02,0,59,66,57,63
山东,2011-03-03,0,0,68,0,64
山东,2011-03-04,0,59,66,63,70
山东,2011-03-05,0,57,63,61,59
山东,2011-03-06,0,57,61,57,64
山东,2011-03-07,0,57,70,59,61
山东,2011-03-08,0,57,63,57,59
山东,2011-03-09,0,0,68,59,59
山东,2011-03-10,0,0,87,57,59
山东,2011-03-11,0,0,66,0,74
山东,2011-03-12,0,57,68,57,64
山东,2011-03-13,0,57,61,0,0
山东,2011-03-14,0,0,80,57,59
山东,2011-03-15,0,0,108,57,59
山东,2011-03-16,0,0,72,0,61
山东,2011-03-17,0,0,66,57,66
山东,2011-03-18,0,0,80,59,59
山东,2011-03-19,0,0,72,0,63
山东,2011-03-20,0,0,61,61,64
山东,2011-03-21,0,57,80,0,66
山东,2011-03-22,0,57,80,57,59
山东,2011-03-23,0,57,89,61,0
山东,2011-03-24,0,57,74,66,0
山东,2011-03-25,0,57,68,63,66
山东,2011-03-26,0,0,70,61,59
山东,2011-03-27,0,57,70,57,61
山东,2011-03-28,0,59,87,64,66
山东,2011-03-29,0,57,66,0,59
山东,2011-03-30,0,59,78,0,64
山东,2011-03-31,0,57,72,0,61
山东,2011-04-01,0,0,61,0,61
山东,2011-04-02,0,0,78,61,57
山东,2011-04-03,0,59,61,0,61
