分布式
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
8
""
16
""
""
8
""
16
""
""
8
8
8
17
""
8
8
""
8
8
8
16
16
51
""
8
8
9
8
8
8
16
16
""
8
""
8
8
8
8
16
""
""
16
""
""
8
""
8
""
8
""
""
""
""
8
""
""
""
""
8
8
9
""
""
""
""
""
8
""
""
8
8
""
""
""
8
8
""
""
""
""
""
8
9
""
8
""
""
""
""
""
""
""
""
""
16
""
""
""
""
8
8
""
8
""
""
""
9
""
""
8
50
33
34
8
25
50
50
16
25
41
50
25
41
16
25
49
33
42
33
24
24
8
17
33
33
58
74
49
33
50
41
65
58
41
59
57
59
49
25
58
25
34
59
41
33
41
57
57
49
41
57
34
99
66
83
34
41
90
33
58
83
67
49
57
51
59
59
57
33
59
16
42
33
8
33
49
49
67
33
57
74
34
34
25
42
58
33
41
58
33
66
51
49
57
60
51
58
59
57
41
58
51
43
75
41
60
69
94
50
42
91
59
50
51
58
50
58
50
68
85
75
70
60
51
34
50
66
26
58
94
93
85
86
77
68
94
74
84
92
93
92
70
41
76
67
85
59
92
101
77
67
67
58
58
86
68
101
75
93
84
42
76
53
59
74
77
85
75
84
70
87
85
68
50
49
60
59
24
17
93
93
102
111
88
91
93
68
85
104
58
76
102
69
84
84
76
86
102
68
86
86
68
67
59
89
60
85
86
78
79
96
87
25
76
84
84
96
68
77
76
86
82
42
59
101
50
41
25
24
16
41
49
33
58
83
75
51
59
67
66
75
76
34
42
59
59
49
57
58
42
50
41
24
49
42
66
76
68
41
50
67
87
112
95
93
104
93
92
78
104
101
75
111
102
119
103
85
77
95
100
59
42
58
25
59
42
92
104
87
92
68
69
109
85
58
85
76
93
94
95
85
69
85
74
75
58
75
57
43
66
25
74
66
85
102
74
75
66
77
91
33
58
76
66
76
59
93
60
34
67
16
76
59
17
33
75
44
76
94
92
93
109
60
84
60
76
77
66
84
83
70
66
58
67
74
76
33
58
50
49
25
50
41
42
67
33
92
84
58
57
84
108
60
75
67
58
26
49
41
49
42
24
33
33
25
9
58
58
41
49
91
94
84
59
41
58
109
59
59
38
