智能化
""
41
8
8
24
8
17
24
25
25
42
33
25
8
33
26
24
42
24
33
8
42
33
25
33
42
26
34
16
25
17
16
""
25
17
16
33
24
41
17
16
8
24
41
26
33
33
25
50
33
8
25
17
41
33
8
8
16
41
50
17
35
34
42
25
34
43
51
17
50
25
17
17
24
51
42
26
25
25
41
41
33
""
33
17
25
25
33
33
24
17
8
""
33
24
24
33
41
16
41
24
25
8
16
16
8
8
8
16
16
8
8
24
33
25
25
25
17
33
33
8
42
8
8
41
17
50
33
42
25
17
17
33
33
26
25
33
34
16
41
49
17
8
33
33
50
42
34
49
42
33
25
33
41
33
34
33
16
24
25
33
""
16
16
16
24
34
17
25
25
50
41
25
25
17
50
25
41
25
58
50
33
16
25
24
25
16
16
33
41
17
26
25
41
49
33
8
41
65
33
66
33
49
41
33
25
25
33
60
33
34
33
33
41
""
33
8
33
25
49
42
33
33
17
16
34
51
42
51
69
75
76
84
77
68
59
59
76
41
43
60
53
52
93
76
83
101
68
59
52
76
33
59
78
84
50
76
96
65
42
67
33
50
59
34
43
58
42
68
91
82
66
42
74
34
67
75
34
59
33
33
50
49
82
58
84
58
109
57
57
58
67
58
41
33
51
41
59
77
75
83
66
33
66
59
75
57
80
82
50
58
50
51
84
59
41
33
24
24
33
66
75
58
50
74
67
59
58
50
66
58
65
76
33
91
83
83
42
67
67
49
75
50
41
33
17
84
92
50
92
59
69
74
33
91
76
66
76
82
92
59
94
85
58
83
75
67
101
74
50
52
24
17
57
84
68
103
68
110
51
94
94
67
60
69
75
75
97
94
76
101
75
67
93
84
59
34
76
77
51
84
45
103
74
42
41
76
69
83
77
85
76
68
59
75
86
67
84
51
77
76
102
49
8
67
76
85
93
109
96
76
94
96
101
77
59
95
71
103
76
68
59
109
92
70
58
76
43
67
33
75
74
92
94
76
75
93
42
103
85
94
92
106
93
95
118
94
101
75
84
67
75
77
24
33
58
33
50
92
88
84
68
101
84
103
67
94
76
67
88
85
91
95
101
75
76
102
93
76
86
92
59
50
86
104
113
83
103
104
51
76
94
102
77
103
92
85
106
96
103
85
111
93
78
102
110
93
69
33
42
80
95
117
113
106
105
107
112
94
96
101
113
86
126
77
96
84
113
85
68
96
76
103
67
59
77
92
92
81
76
85
86
44
53
77
91
95
52
119
93
77
104
95
105
94
85
79
75
50
57
104
102
95
114
105
113
124
97
112
105
116
106
110
110
103
93
103
113
106
121
94
104
93
92
101
69
70
78
97
77
79
102
95
76
84
103
114
86
68
88
109
103
113
68
76
67
67
99
103
49
41
84
104
110
102
103
87
111
105
103
76
87
105
85
87
