区块链
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
8
""
8
""
8
""
8
""
""
""
""
""
10
8
8
8
""
""
""
""
8
""
""
""
""
""
8
25
""
""
""
8
25
17
58
58
16
66
41
49
66
33
34
66
66
86
95
109
71
60
68
78
76
59
83
123
135
137
132
128
104
114
158
164
173
155
162
148
139
138
157
147
139
133
136
147
132
118
143
128
151
140
118
141
140
151
139
115
147
144
136
129
135
132
137
148
141
148
116
145
146
144
161
154
150
155
176
150
121
156
158
168
165
161
170
196
184
185
224
218
218
207
205
196
212
210
222
308
267
294
323
251
216
197
147
202
189
175
178
206
206
230
251
302
311
380
325
424
1528
1146
707
688
863
652
1166
1517
1522
1298
1226
1054
765
935
860
868
711
805
868
981
1141
930
729
554
570
559
688
607
612
587
588
507
601
475
484
416
358
370
308
475
436
468
411
416
369
368
377
449
375
357
324
287
316
269
239
233
240
277
294
342
303
318
296
301
489
349
336
347
274
310
333
319
310
433
398
474
500
315
288
272
313
285
274
275
283
283
288
292
287
284
233
290
303
2071
2957
1313
984
830
651
725
619
518
472
375
373
330
234
240
333
357
394
385
465
410
355
388
360
315
340
367
338
327
399
328
365
323
342
365
322
394
490
360
409
419
388
358
387
362
375
392
404
422
324
332
436
409
408
407
398
367
387
419
415
434
465
383
438
366
330
374
350
378
385
428
456
471
448
420
347
373
371
350
339
357
408
385
461
368
342
293
344
284
263
246
254
224
253
254
262
252
267
337
316
294
246
231
275
300
273
306
290
300
277
287
297
292
263
249
262
259
242
245
248
277
258
265
289
285
297
309
301
283
305
316
309
268
329
304
294
242
258
255
262
281
240
225
236
231
214
221
219
211
254
232
259
254
213
192
219
236
212
228
229
227
224
210
207
188
160
166
178
179
156
178
190
207
214
230
229
229
214
218
218
211
205
220
184
195
