数字化
""
8
8
8
8
8
17
8
39
49
33
25
25
25
33
""
16
17
33
""
25
8
16
8
8
24
16
24
16
8
8
8
8
17
17
34
24
16
16
8
8
16
41
34
25
42
33
8
16
34
25
8
24
16
8
16
""
16
24
24
24
16
24
25
16
8
16
24
8
8
17
26
8
25
24
8
24
17
16
16
8
24
25
16
25
8
16
8
24
24
17
""
16
8
24
8
8
8
17
33
16
25
8
8
16
8
8
8
16
8
""
""
8
17
8
16
33
8
17
33
17
""
8
""
24
8
16
33
8
25
8
51
53
8
24
8
8
17
16
8
24
8
""
24
8
24
17
41
67
65
8
18
16
17
49
58
17
8
33
8
8
""
8
""
33
16
16
51
24
16
""
17
8
27
24
33
8
16
49
24
""
""
""
16
""
16
8
""
8
""
16
8
9
""
33
16
""
17
24
17
41
75
33
""
25
33
8
33
8
25
8
8
8
16
""
16
""
8
25
17
17
8
17
16
25
33
8
""
""
33
24
25
8
16
8
49
16
33
16
33
17
33
16
16
8
25
55
33
17
16
34
50
41
33
24
49
33
16
8
8
57
8
""
8
24
8
""
""
""
8
33
8
24
24
8
8
9
17
""
24
8
8
8
33
24
8
""
16
8
16
8
16
17
16
16
16
8
17
8
8
""
16
8
74
50
42
25
49
37
8
33
25
33
24
16
17
8
""
17
8
16
16
8
25
""
8
8
8
""
16
""
8
8
8
""
41
8
24
16
16
25
33
33
16
16
17
8
24
8
16
24
42
8
8
17
33
60
60
17
58
58
50
16
33
25
8
24
24
16
16
17
""
""
16
8
16
24
8
16
8
16
41
17
33
33
41
50
25
25
25
25
33
8
17
8
""
8
17
33
53
59
68
59
51
60
51
77
25
41
59
76
51
59
93
77
67
77
69
44
60
33
26
16
""
25
25
33
33
41
57
17
25
8
41
58
9
24
25
17
51
24
42
33
24
50
24
8
33
16
50
8
42
58
33
17
8
8
8
58
33
59
33
49
25
16
16
33
25
33
24
16
16
42
8
25
33
33
24
41
60
57
58
65
59
25
17
74
35
49
42
34
49
49
49
49
41
41
41
25
75
42
75
66
74
69
67
50
114
103
60
67
105
93
95
69
68
93
97
85
76
76
33
58
65
92
49
68
92
16
51
75
59
84
93
98
84
76
75
75
68
75
68
96
75
66
76
59
50
58
77
51
74
50
51
60
68
92
84
85
88
93
60
92
83
108
95
111
76
87
84
85
93
83
74
75
102
94
105
100
33
60
94
113
122
110
98
103
113
105
104
69
81
76
87
76
70
95
84
94
59
83
77
83
77
86
60
74
59
93
67
51
75
115
95
77
120
121
97
88
94
105
103
88
77
84
76
59
100
102
58
50
75
87
96
96
105
108
120
122
92
100
110
95
70
98
