P2P
233
248
242
251
226
179
223
222
280
279
265
302
277
275
262
249
245
243
252
263
282
281
270
282
283
292
257
284
285
262
285
272
278
290
262
268
282
304
276
294
275
323
309
278
335
290
302
290
289
272
260
248
277
243
258
219
186
255
267
274
317
302
317
292
298
302
304
297
273
277
272
292
312
322
279
304
280
267
290
293
320
335
286
295
290
312
276
320
297
306
281
263
300
308
274
292
275
287
275
268
257
251
256
263
236
257
239
234
254
256
207
209
231
258
260
260
259
277
285
299
316
354
407
297
379
431
411
438
400
326
262
438
506
512
484
465
467
445
434
454
423
385
408
362
451
423
374
362
387
386
380
443
418
416
406
411
413
502
474
448
466
373
445
434
441
466
475
437
451
496
395
505
563
632
601
579
569
541
510
591
574
530
538
515
583
557
556
534
574
597
615
642
688
675
665
695
634
635
682
676
679
680
639
706
719
676
703
624
603
639
660
652
724
635
607
563
451
659
704
734
730
659
659
634
620
609
583
626
670
791
695
707
671
723
643
725
685
770
720
642
715
666
589
602
543
581
573
543
484
505
569
550
490
532
529
537
571
590
652
685
615
692
603
598
489
512
570
378
535
552
589
598
573
564
489
618
576
591
598
538
583
607
560
524
463
468
551
444
462
428
430
390
452
390
383
470
399
367
342
359
346
323
355
340
319
341
317
329
353
401
371
355
364
352
357
319
287
242
293
332
323
341
328
335
337
328
304
298
310
317
299
322
339
333
333
306
318
311
360
353
362
369
352
369
383
401
401
378
366
382
404
354
344
289
352
359
357
338
337
348
360
355
354
355
365
367
365
434
376
348
322
329
271
334
346
388
359
355
345
337
388
349
359
337
355
369
352
340
352
308
322
331
365
561
1039
1086
767
1072
586
596
436
437
405
354
335
340
395
385
356
346
298
273
277
282
267
262
281
294
303
309
281
292
268
230
302
313
317
310
290
274
333
287
273
250
274
240
284
283
293
273
258
268
293
325
305
261
302
257
269
245
259
243
309
307
247
246
237
213
239
261
302
296
305
308
287
273
314
291
275
252
268
228
235
186
212
234
254
253
269
256
255
259
259
245
234
236
265
232
275
264
281
247
242
231
276
247
310
276
238
225
213
226
210
231
225
228
235
247
261
218
226
247
267
287
450
289
283
359
556
305
294
274
228
235
249
222
214
233
196
207
226
248
238
229
226
273
230
256
212
212
192
205
216
211
208
193
178
186
186
191
174
180
175
165
169
179
185
174
204
206
187
178
167
180
185
180
197
187
192
193
188
187
188
184
181
185
195
177
169
154
184
188
180
196
202
209
188
185
177
190
184
177
178
215
211
218
187
193
193
191
177
182
216
171
174
167
167
172
168
169
160
175
182
160
151
166
177
173
161
167
162
176
167
161
154
139
146
146
155
148
145
150
157
157
172
173
180
176
163
162
166
160
159
141
152
