智能化
""
8
""
""
8
""
8
""
25
16
25
16
25
16
41
16
8
41
49
25
25
25
16
25
8
24
17
8
16
34
25
8
16
16
24
17
9
8
50
17
17
16
41
24
25
25
26
33
25
26
17
8
33
24
8
""
""
33
25
16
8
33
33
25
16
8
17
25
16
25
17
16
33
41
42
8
24
8
17
33
16
16
8
33
8
16
24
8
16
16
25
17
9
25
24
17
33
17
16
17
""
17
8
17
24
""
25
17
8
24
8
8
24
50
8
25
33
16
24
8
16
8
24
33
24
33
8
25
""
""
""
8
""
58
16
25
16
17
25
34
8
24
25
""
""
34
17
42
33
16
43
33
33
34
16
16
33
41
33
8
41
16
16
16
41
16
57
8
41
33
33
8
33
24
33
50
41
8
49
49
8
9
35
33
25
33
16
26
16
16
8
16
16
16
35
49
24
33
33
41
24
33
41
33
34
42
33
16
83
35
58
24
33
33
26
25
""
33
33
49
66
42
17
25
51
25
41
67
60
51
66
67
65
58
60
60
58
43
67
50
50
60
51
59
53
59
76
59
42
42
84
84
41
75
50
101
49
59
42
50
66
58
77
25
50
25
33
24
42
76
67
42
83
59
49
49
58
17
34
41
49
33
42
25
50
50
66
58
83
43
41
57
58
43
50
42
43
57
34
67
25
33
83
60
49
49
33
67
51
67
41
49
49
67
65
42
33
8
16
25
41
42
58
74
67
41
50
25
58
59
58
42
50
76
51
25
51
58
84
59
66
68
51
61
59
60
51
42
50
41
85
102
85
16
59
67
86
97
75
106
121
113
109
97
119
94
94
87
102
95
114
91
41
59
85
67
101
110
97
77
115
101
97
104
97
95
95
111
103
101
103
102
101
84
87
94
81
101
94
136
106
125
118
95
102
42
119
95
92
86
104
106
106
94
110
105
102
97
95
96
95
68
61
16
76
100
94
87
107
120
94
69
125
113
124
87
104
115
118
71
76
122
104
123
70
59
77
87
70
83
102
88
121
90
88
70
121
42
107
115
104
110
104
96
104
87
94
86
68
95
83
76
68
25
16
25
52
58
70
95
83
79
88
77
67
78
115
69
111
77
92
88
95
94
112
91
103
96
93
95
95
77
105
77
111
104
110
122
115
50
85
96
94
93
95
86
120
111
79
104
87
111
101
104
86
85
70
77
42
68
93
91
93
120
121
80
94
86
85
102
86
103
112
106
95
104
86
101
74
61
68
101
85
76
75
76
86
95
125
101
61
87
75
119
85
99
77
104
110
110
112
103
92
104
83
102
84
52
75
58
51
104
102
118
98
88
122
111
103
113
116
104
94
105
100
88
85
104
79
107
103
100
67
85
67
50
67
85
58
93
104
109
101
93
66
85
102
75
95
100
94
77
92
66
92
50
50
77
109
33
50
85
87
111
111
112
92
103
103
78
87
86
103
76
88
