大数据
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
52
33
59
34
53
47
51
61
43
50
61
60
61
60
66
62
53
55
52
67
66
69
67
70
71
81
82
69
65
71
84
77
77
75
72
70
57
54
75
78
79
81
78
75
84
103
108
91
80
104
120
127
114
104
84
105
107
196
183
179
171
168
153
162
163
164
180
174
173
177
166
199
203
184
193
196
185
183
188
185
199
200
235
222
190
177
169
152
150
192
198
270
296
275
270
225
201
209
229
293
234
250
244
221
239
267
326
310
260
243
267
251
240
226
217
245
268
264
303
304
362
355
231
300
294
299
302
303
283
315
319
296
315
319
325
290
306
288
257
265
232
246
180
232
314
335
314
340
294
298
320
317
285
289
336
353
597
417
389
417
398
376
362
357
336
332
329
319
405
331
391
465
418
384
309
355
405
405
398
390
463
451
402
386
426
404
415
367
379
372
346
315
255
232
330
349
423
451
438
417
407
405
473
495
460
445
506
598
937
645
531
589
559
436
409
399
366
353
339
323
313
352
400
487
401
469
411
330
454
510
517
507
496
504
526
569
512
478
519
495
626
705
622
797
742
575
566
673
508
428
579
676
810
716
717
721
557
541
542
548
709
741
574
468
539
565
529
498
499
494
480
423
449
488
453
529
516
505
490
320
585
580
531
485
504
513
480
475
583
591
494
450
453
439
413
402
382
369
262
351
472
519
541
548
562
437
520
514
470
405
466
481
551
506
504
469
523
531
471
462
429
420
401
379
363
383
415
448
486
439
421
290
464
451
431
432
444
481
427
417
327
296
287
263
252
352
331
302
265
205
322
368
433
484
733
494
649
363
423
908
432
290
354
345
344
396
303
394
436
524
373
340
342
346
337
310
335
334
376
444
429
435
408
219
371
393
473
409
417
408
398
392
414
396
416
377
307
311
241
163
255
256
308
342
402
408
393
364
334
331
296
322
316
303
328
386
382
368
333
350
375
310
297
295
276
427
344
292
284
290
321
383
477
419
423
300
330
371
365
367
367
363
382
385
343
362
371
375
324
327
302
285
260
247
186
228
296
380
356
394
383
343
330
336
382
305
300
342
342
362
321
317
338
491
385
288
279
265
279
272
260
276
274
348
458
361
312
298
273
329
327
319
338
319
297
299
343
354
340
366
308
304
279
267
241
187
260
274
325
369
380
386
372
350
310
370
338
307
276
329
309
306
273
337
311
457
401
249
240
238
237
223
216
249
249
304
347
309
327
306
239
313
293
304
292
321
305
309
391
278
248
217
204
204
202
165
163
206
226
250
267
291
319
303
251
272
232
252
252
217
187
