数字化
""
""
""
""
""
""
""
8
8
""
8
""
""
""
16
""
8
""
""
24
""
33
33
""
""
8
8
17
8
""
16
16
8
9
17
8
""
8
""
16
""
8
8
16
9
""
8
24
24
8
16
8
""
8
8
8
""
17
16
16
""
16
8
8
16
8
""
""
""
8
8
8
""
8
""
""
""
""
24
""
""
24
16
8
25
""
8
8
8
""
8
""
17
17
8
24
""
8
16
24
24
""
17
""
""
""
8
16
8
8
8
""
8
""
""
""
8
8
8
8
8
16
""
""
17
8
8
8
24
17
""
8
""
8
16
""
8
""
8
""
16
16
""
9
""
8
8
16
8
16
8
8
8
24
""
8
16
8
""
""
8
""
""
8
8
""
8
8
24
8
""
""
16
8
24
25
8
33
17
8
8
""
""
""
8
16
""
""
16
""
""
""
8
""
25
33
""
24
8
""
25
""
""
8
24
""
8
""
25
8
8
8
8
16
""
""
""
16
""
24
""
24
26
8
24
""
""
""
""
""
8
""
""
""
8
""
8
""
""
8
""
8
""
8
8
9
8
""
""
""
""
8
8
8
16
""
""
16
17
""
""
8
""
""
""
8
8
""
8
16
8
8
8
""
16
""
""
""
""
8
""
""
8
16
""
8
""
""
""
""
""
""
""
16
""
""
""
8
""
""
""
""
8
8
""
""
""
8
8
8
""
8
8
8
""
8
""
""
""
""
8
17
8
8
""
""
""
8
""
8
""
""
8
""
""
""
""
8
""
8
8
""
""
9
17
""
16
16
""
8
""
8
""
""
8
16
""
16
16
""
8
17
24
16
8
8
""
16
25
8
""
16
""
""
8
8
24
17
8
16
""
8
33
17
8
8
""
8
8
""
8
8
""
""
""
17
9
8
16
24
16
""
16
8
8
8
9
""
8
""
8
17
8
24
16
""
58
24
16
""
8
8
17
""
16
""
8
24
33
25
16
33
16
25
8
8
16
17
17
16
""
25
""
8
8
41
16
""
16
16
8
""
8
25
""
""
16
8
8
8
8
38
33
8
8
16
8
16
45
""
8
16
""
8
8
33
24
24
33
33
33
25
8
8
16
33
16
24
24
24
""
""
33
17
8
8
8
16
16
25
""
16
16
16
49
41
41
82
74
41
58
49
41
33
74
51
59
59
33
49
58
49
49
57
41
8
42
""
25
50
41
42
62
42
49
33
25
25
58
76
58
42
67
49
76
57
71
66
58
58
42
42
41
59
50
49
41
50
25
84
50
34
26
34
42
34
34
33
49
41
33
66
41
16
74
58
41
42
41
41
74
76
75
84
52
84
104
86
76
91
77
49
49
59
85
66
16
58
58
50
57
25
16
66
25
25
58
49
49
17
33
49
88
25
33
34
58
66
49
59
93
67
66
42
25
50
34
33
49
""
8
34
66
74
75
89
59
74
75
82
8
41
49
67
59
