众筹
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
8
8
8
""
8
""
8
16
""
8
""
""
""
""
8
""
""
8
""
""
8
8
""
8
""
8
""
8
16
8
49
25
8
9
41
""
16
16
16
33
16
24
8
42
50
33
33
16
24
33
57
65
24
24
54
25
42
""
42
51
49
26
50
42
34
51
58
68
43
26
34
52
74
60
59
67
33
33
51
68
83
75
67
85
93
80
76
90
84
69
94
95
94
105
120
98
117
98
125
125
105
115
99
105
95
86
112
75
96
85
111
85
115
114
113
112
119
86
104
85
103
103
119
100
84
101
94
44
52
60
102
77
67
78
86
78
52
83
98
100
81
81
106
104
80
77
84
76
95
91
101
84
111
78
59
85
62
75
60
68
76
75
50
58
59
67
77
68
65
58
68
60
75
68
67
67
58
75
49
58
85
68
75
67
84
60
87
86
50
67
67
25
50
75
67
77
50
67
58
58
112
92
78
93
74
76
84
68
75
67
76
68
75
59
49
74
92
69
94
59
84
85
67
76
84
84
85
84
76
85
41
68
77
25
58
92
76
92
42
60
76
76
67
66
74
58
76
76
42
74
8
58
49
33
85
75
59
41
58
67
49
58
59
57
41
49
33
50
66
50
50
52
59
50
59
34
33
66
50
33
34
17
49
17
16
41
41
58
59
66
17
73
66
67
82
25
33
33
42
33
41
16
17
59
24
8
41
33
8
42
33
24
25
8
33
25
19
25
8
41
50
41
16
17
25
42
33
16
8
16
25
41
16
16
41
33
42
8
25
33
41
33
52
17
41
33
25
25
24
33
50
25
25
16
9
57
""
41
16
25
""
25
42
58
42
57
33
33
17
26
24
25
41
34
16
57
33
41
24
33
16
41
17
17
41
16
50
16
16
8
8
8
42
33
16
49
33
25
16
33
19
16
25
8
8
17
""
""
25
25
17
16
8
24
""
8
8
16
""
9
33
8
17
""
8
16
16
8
16
25
24
8
16
8
""
33
24
16
8
16
""
33
8
25
8
9
16
16
16
25
8
16
""
8
17
9
25
8
""
16
""
16
17
59
33
25
16
24
8
33
8
16
8
16
16
16
25
""
33
8
""
16
33
""
8
8
24
20
8
8
""
""
17
33
33
8
25
16
8
9
""
17
16
16
""
""
