分布式
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
16
16
""
""
""
""
8
8
""
""
""
""
""
""
""
""
""
16
""
""
16
25
25
8
8
""
""
""
8
8
""
8
8
""
16
""
8
8
8
9
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
8
""
""
""
""
9
""
""
""
""
8
8
""
16
""
""
""
""
""
""
""
""
""
""
""
""
8
""
9
""
""
""
""
""
""
""
8
8
""
""
""
""
""
""
33
8
8
""
16
""
16
""
16
8
16
33
16
17
8
16
8
16
""
""
16
8
""
16
17
""
""
25
8
8
17
16
17
16
""
17
17
16
33
16
8
""
25
16
8
""
41
24
25
8
8
""
16
""
24
8
8
8
17
9
17
""
""
16
49
16
24
8
33
16
16
8
16
""
8
16
25
16
24
16
8
17
16
17
17
16
8
8
24
8
33
""
17
16
25
17
25
17
16
16
17
8
17
33
25
""
24
17
16
24
17
25
33
8
24
42
25
34
8
8
24
8
25
33
17
24
25
""
25
42
33
33
33
49
8
33
41
49
24
41
16
17
33
25
25
24
33
24
25
33
42
33
33
57
42
85
51
70
76
59
66
93
59
33
50
26
59
67
92
76
67
85
76
68
67
42
57
33
8
24
25
24
42
33
41
49
33
25
42
50
41
33
33
24
25
33
33
41
50
33
57
58
33
33
34
16
33
25
24
41
33
49
8
17
34
8
58
41
25
25
33
25
33
41
41
8
33
""
""
""
8
16
16
25
16
16
16
16
17
16
16
41
""
17
33
16
24
16
17
33
16
25
""
49
25
17
41
16
66
24
25
34
41
25
""
25
49
42
41
41
41
66
41
33
33
42
17
8
17
34
41
24
16
8
33
50
35
74
41
24
41
74
33
49
25
33
50
57
9
49
33
25
49
41
16
24
33
8
8
33
24
16
33
50
16
25
24
33
49
25
49
24
33
41
24
49
74
41
25
33
50
58
16
""
24
41
25
41
66
33
25
58
25
33
33
57
25
25
83
58
33
16
33
24
41
57
25
25
8
17
25
25
24
49
41
8
41
8
33
""
16
34
25
33
24
33
49
24
34
33
16
33
16
33
16
25
8
16
33
49
33
50
8
41
41
8
33
16
16
19
