金融科技
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
8
8
8
""
8
""
""
17
""
24
17
""
16
""
8
8
""
""
33
24
17
24
""
16
""
16
17
17
""
8
16
""
33
34
""
""
8
8
8
8
17
8
16
""
8
""
""
8
8
24
16
17
17
16
9
34
""
17
16
33
25
9
33
33
26
9
25
""
""
16
8
8
24
8
42
26
16
8
16
8
16
16
16
25
25
17
9
26
24
17
""
8
8
""
24
""
8
16
17
""
8
8
16
""
8
25
17
17
17
8
9
8
""
25
33
17
41
24
25
17
24
""
8
""
""
16
16
41
33
8
33
50
25
33
25
41
16
""
33
16
33
17
24
""
8
8
8
""
""
""
16
""
16
16
8
16
16
""
17
25
8
8
43
8
8
16
8
""
""
8
8
16
""
""
8
""
8
8
""
9
8
""
8
""
8
""
8
17
8
""
""
16
17
8
8
""
16
""
8
8
""
""
""
""
8
8
16
""
""
""
""
""
8
8
""
""
9
""
16
""
8
8
""
""
""
""
""
25
""
""
""
8
""
""
8
""
""
""
16
""
16
""
""
17
""
8
8
8
""
""
9
""
""
""
""
8
8
9
8
""
16
""
8
8
""
8
16
16
8
25
9
8
""
8
8
25
""
8
8
""
8
17
17
16
""
""
16
8
8
24
8
16
25
8
8
8
8
16
8
""
17
16
17
8
8
8
""
8
17
16
8
""
""
""
8
16
16
16
25
17
""
17
8
""
8
16
8
16
""
""
8
8
8
8
16
""
8
17
17
16
8
""
""
8
8
8
""
8
8
25
8
16
""
17
17
8
8
8
""
8
""
8
8
16
8
""
""
""
8
""
8
8
8
""
""
16
""
""
""
""
8
16
8
""
8
16
""
""
""
""
""
""
8
""
10
