直销银行
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
34
59
50
41
49
66
49
25
8
""
24
17
24
8
8
33
24
16
""
8
24
49
66
85
83
65
58
50
33
92
85
92
59
74
58
57
50
82
42
42
33
34
41
49
33
34
41
51
66
42
73
67
82
67
41
95
95
94
87
96
95
116
89
121
99
86
83
67
87
86
119
104
84
76
66
86
87
68
114
93
69
104
59
103
94
110
119
106
111
113
120
79
103
109
104
103
95
93
110
94
103
84
84
85
105
85
67
86
82
76
97
77
76
152
118
103
104
85
94
76
108
68
94
104
50
66
86
77
100
67
102
77
58
83
92
85
101
94
103
84
118
91
67
67
76
62
94
59
100
92
91
94
49
75
49
58
33
76
57
33
74
75
59
68
41
59
91
91
102
75
85
84
58
76
91
42
42
84
78
67
85
105
94
77
110
59
85
93
67
68
98
67
94
92
69
75
100
94
131
77
85
99
67
120
94
110
88
70
84
77
76
41
84
92
58
75
100
80
89
110
104
59
121
109
95
115
119
78
87
95
84
91
120
77
104
104
113
105
105
73
103
95
95
85
78
85
84
79
94
87
106
113
75
100
59
92
92
92
121
77
61
52
75
42
84
84
84
115
103
84
68
89
51
87
102
92
41
67
75
65
58
49
77
83
75
84
57
75
90
50
58
93
58
25
67
59
57
42
41
50
42
34
74
42
75
57
42
25
58
33
50
41
49
83
76
25
33
49
41
66
84
69
67
109
96
79
68
105
73
117
96
50
67
67
75
103
112
101
96
93
58
33
75
58
42
""
16
58
83
65
69
50
49
24
67
52
42
33
50
76
74
100
33
41
59
50
33
33
34
42
74
49
58
42
50
41
50
87
95
115
97
91
93
61
82
66
33
67
76
75
58
42
76
24
41
42
33
49
24
25
35
67
9
49
49
17
""
9
17
41
24
33
33
8
8
33
41
25
33
16
9
50
24
34
42
25
41
49
41
41
41
33
34
33
24
57
24
25
41
17
33
58
42
16
33
24
16
33
41
49
28
50
17
26
41
8
33
25
34
33
24
84
42
34
25
9
33
8
41
8
17
17
16
41
41
43
27
25
25
8
33
16
8
41
16
8
16
8
8
16
25
17
25
25
33
25
8
9
17
33
30
8
10
