点对点网络
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
17
8
8
8
17
25
24
8
8
34
16
25
25
8
41
24
16
16
16
24
33
17
16
16
8
41
42
25
16
25
17
8
24
8
""
8
""
""
8
8
8
""
16
33
8
""
24
""
""
""
""
16
16
33
16
8
8
16
16
""
""
""
8
8
16
8
8
8
16
""
8
8
8
8
16
24
8
16
8
8
""
8
""
""
17
41
""
""
""
16
16
""
""
""
""
""
8
8
""
""
8
""
""
16
16
""
16
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
""
""
8
""
""
8
""
""
""
""
""
""
8
""
""
""
""
""
""
""
8
8
""
""
""
8
""
""
8
""
""
""
8
""
""
9
""
""
""
""
8
""
""
""
""
""
8
""
""
8
16
8
""
""
""
""
""
""
""
""
8
8
""
""
""
""
8
8
""
""
8
""
""
8
""
16
""
""
""
16
""
""
""
8
""
""
""
8
""
8
""
""
""
""
8
""
""
8
""
""
8
16
""
""
""
8
""
""
8
17
8
""
""
""
""
8
""
8
""
""
8
25
8
""
""
8
""
""
8
""
""
""
""
""
""
""
8
""
16
8
""
""
16
17
8
16
8
8
8
""
""
""
8
8
""
8
16
8
""
""
8
9
16
8
17
17
24
24
33
24
8
""
16
25
16
8
8
24
25
16
33
""
16
16
33
""
33
16
8
8
17
16
8
8
8
16
17
16
""
16
16
8
""
""
17
8
""
8
17
24
24
8
17
24
8
""
8
""
""
""
8
""
""
16
24
17
16
25
9
8
33
8
8
""
16
24
33
16
8
8
8
17
16
16
""
8
8
8
8
""
17
16
8
8
8
16
16
""
8
16
24
24
16
8
16
25
25
24
""
8
8
""
""
8
8
8
8
8
16
8
8
25
26
24
8
24
8
8
16
""
8
""
8
17
8
""
8
""
8
16
""
8
8
16
33
17
8
8
25
8
17
8
16
9
16
8
8
17
8
16
8
17
8
8
16
16
8
""
16
8
8
16
34
""
8
8
8
""
""
16
8
""
17
8
16
""
8
8
""
""
8
""
16
8
8
8
16
16
24
16
8
8
""
""
8
8
8
8
8
8
8
16
16
""
16
""
8
""
""
8
""
25
16
8
25
""
17
8
16
16
""
""
8
17
""
""
""
""
17
16
""
""
""
8
""
""
""
16
""
""
8
""
16
8
16
33
""
""
""
8
""
""
""
""
""
""
""
""
""
""
8
8
8
17
8
16
8
""
8
8
""
""
""
