手机银行
57
16
16
""
16
8
8
""
8
""
""
8
""
""
8
""
""
16
8
17
8
25
16
16
""
16
8
8
17
16
24
""
24
""
""
8
17
8
8
25
""
8
16
16
16
24
17
8
17
""
""
""
16
""
16
8
""
16
16
8
""
25
16
16
33
""
8
16
16
16
8
8
""
8
17
8
""
""
""
8
16
""
16
""
17
8
8
""
8
16
16
17
""
24
8
8
8
""
8
8
8
16
8
24
8
16
""
""
8
""
8
8
8
16
""
8
17
8
24
17
""
""
""
17
8
""
8
8
8
16
""
63
61
65
64
73
64
64
79
62
64
66
63
73
63
92
72
71
64
89
70
53
65
75
78
85
71
70
74
63
62
62
50
61
59
79
62
62
63
67
64
72
80
69
79
72
83
62
73
74
72
63
62
54
64
56
70
66
81
70
63
73
65
75
66
63
63
71
85
75
64
75
70
66
66
82
66
84
73
71
90
67
67
74
67
63
33
35
79
55
62
79
63
64
63
54
65
68
54
63
84
72
65
71
60
63
74
70
65
65
79
64
68
94
98
72
86
65
54
67
65
53
64
62
86
95
110
104
106
84
76
52
69
53
36
42
50
34
51
71
69
61
77
60
68
61
58
60
58
59
51
51
43
65
69
61
55
64
54
51
44
56
63
63
53
74
55
63
62
63
63
52
61
60
64
65
52
51
64
65
55
55
52
62
52
69
60
41
42
51
60
51
59
62
52
63
62
52
59
44
45
60
60
62
62
65
62
62
62
78
62
60
42
51
52
65
50
56
62
69
70
61
63
51
53
67
76
65
63
70
71
62
71
78
60
60
52
69
61
68
60
53
25
33
60
52
62
60
64
34
72
61
60
61
61
61
61
43
54
51
44
42
70
53
47
51
53
61
61
72
62
61
43
53
62
52
43
53
50
52
61
62
52
58
51
62
62
51
50
44
52
42
33
8
42
50
41
58
43
53
52
51
50
69
70
58
43
50
44
35
51
62
60
50
50
61
60
45
59
59
54
42
62
59
54
64
51
42
63
54
64
52
61
44
69
62
60
60
52
51
59
42
60
41
17
16
33
34
66
8
51
42
44
49
52
34
43
50
60
34
59
45
51
52
63
64
75
72
67
68
65
86
65
67
74
80
66
68
75
59
62
71
53
35
51
53
65
69
46
51
55
62
43
51
42
52
63
43
46
34
44
71
46
61
60
61
64
61
54
55
64
52
53
55
45
62
64
53
66
65
63
53
63
62
63
64
69
68
63
61
72
56
61
46
68
64
67
68
65
58
66
58
73
66
64
71
45
52
68
59
54
51
52
59
63
55
60
62
60
64
62
61
60
65
54
60
51
52
44
69
64
55
63
69
61
65
60
60
54
61
53
62
64
62
62
66
67
67
69
68
67
61
68
68
72
52
69
61
59
44
50
27
59
60
41
52
61
64
61
60
52
43
63
51
42
