生物识别
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
""
""
""
""
""
8
8
""
8
""
""
""
""
""
""
""
""
""
""
""
""
8
8
8
""
""
""
""
""
""
""
""
""
8
""
""
""
8
""
""
""
""
""
8
""
""
16
8
8
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
8
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
8
""
""
""
""
""
""
""
""
""
""
8
""
""
""
8
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
8
""
""
""
""
8
""
8
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
""
16
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
8
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
8
8
""
17
8
8
""
8
16
""
24
16
16
8
8
8
17
""
""
""
""
""
""
8
8
8
""
""
""
""
""
8
""
""
16
""
""
""
""
""
""
""
""
""
""
""
""
""
""
8
""
""
""
""
""
""
""
8
""
""
""
""
8
""
16
17
""
""
8
8
""
9
8
""
""
8
""
""
""
""
""
""
""
""
""
""
""
""
17
""
""
16
""
""
""
""
""
8
17
""
""
""
16
""
""
8
""
""
""
""
""
17
8
""
8
""
""
""
8
""
24
""
""
""
33
16
24
8
9
8
17
""
""
8
""
""
""
""
""
""
8
""
""
""
""
8
""
""
8
""
8
24
""
16
""
8
8
8
""
8
""
8
8
""
""
""
8
8
8
""
25
26
42
49
""
8
""
""
8
""
16
""
""
""
25
8
""
""
""
""
""
""
""
17
8
8
""
""
8
""
16
17
8
8
8
17
""
""
8
8
8
8
""
""
8
""
""
""
""
8
16
""
8
16
""
16
8
16
8
""
""
8
""
8
""
8
""
17
8
""
8
8
16
""
""
8
""
17
16
8
8
8
8
8
16
16
8
16
""
""
""
25
8
8
8
""
8
""
""
8
""
""
""
""
""
8
8
8
25
16
""
""
9
8
8
8
8
17
""
""
16
16
""
""
8
""
8
""
9
""
8
16
8
8
""
""
""
8
""
""
""
8
""
""
8
""
16
""
""
""
8
8
17
8
""
8
""
8
8
""
""
""
16
""
8
25
""
""
8
9
17
""
8
""
16
33
8
""
25
""
8
16
""
16
""
24
""
""
""
""
8
""
""
17
16
8
""
8
25
8
8
25
""
8
16
""
8
25
8
8
25
""
16
8
17
""
8
16
24
8
8
24
17
8
9
17
16
16
8
8
9
8
17
17
""
""
""
24
10
